Species,Age,Sex,A:G Ratio,ALT,Albumin,Alk Phos,Amylase,Anion Gap,Bicarbonate,CK,Calcium,Chloride,Cholesterol,Creatinine,Direct Bilirubin,GGT,GLDH,Globulin,Glucose,Indirect Bilirubin,Lipase,Magnesium,Na:K Ratio,Phosphorus,Potassium,Sodium,Total Bilirubin,Total Protein,Urea,3rd space losses,AG acidosis ,AG elevated,AG lowered,ALP elvated,ALP lowered,ALT elevated,ALT lowered,Acid base processes,Acid gain,Acid-base disturbance,Addendum,Addisonian,Albumin elevated,Albumin lowered,Alk phos elevation,Alk phos lowered,Alkalosis,Alterations in portal circulation,Altered lipid metabolism,Amylase elevated,Anal sac adenocarcinoma,Anion gap acidosis,Anion gap elevated,Anorexic,Azotemia,Benign hepatic nodular hyperplasia,Benign nodular hyperplasia of liver,Bicarbonate elevated,Bilateral hydronephrosis,Bilirubin elevated,Blood losses,Body muscle mass/proportion,Bone or steroid-induced isoforms,Brachycephalic syndrome,CGT elevated,CHF,CK elevated,Calcium elevateed,Chloride loss,Cholestastic,Cholestatic disease,Cholesterol.1,Chronic kidney disease,Chronic respiratory acidosis,Concurrent cholestasis,Congenital abnormality,Contraction of gall bladder,Creatinine elevated,Creatinine lowered,Cushing,Diabetes mellitus,Diabetic hepatopathy,Diabetic ketoacidosis,Disorders of lipid metabolism,Diuresis,EPI,Ehrlichiosis,Endocrine disorders,Endocrinopathy,Endoparasites,Enhanced tissue protein catabolism,Fluid dilution,Functional mass lowered,GFR lowered,GGT elevated,GI lymphangiectasia,GLDH elevated,GLDh lowered,Gastrointestial losses,Gastrointestinal bleeding,Gastrointestinal disease,Gastrointestinal losses,Gastrointestinal obstruction,Gastrointestinal stasis,Gastrointestinal tract disease,Globulins elevated,Globulins lowered,Glomerular disease,Glomerular filtration rate lowered,Glomerular renal disease,Glucocorticoid induction,Glucocorticoid therapy,Glucose elevated,Glycosuria,Hemoconcentration,Hemolysis.1,Hemolytic process,Hepatic disease,Hepatic dysfunction,Hepatic enzymes elevated,Hepatic enzymes lowered,Hepatic insufficiency,Hepatic leakage,Hepatic pathology,Hepatic production lowered,Hepatic uptake lowered,Hepatobiliary,Hepatobiliary disease,Hepatocellular function,Hepatocellular injury ,Hepatocellular leakage,Hepatoceyte lipid accumulation,Hepatopathy,Hyperadrenocorticism,Hyperalbuminemia,Hyperamylasemia,Hyperbilirubinemia,Hypercalcemia,Hypercholesterolemia,Hypercortisolemia,Hyperglobulinemia,Hyperglycemia,Hyperhcholesterolemia,Hyperkalemia,Hyperlipasemia,Hypernatremia ,Hyperphosphatemia,Hyperproteinemia ,HypoT4,Hypoadrenocorticism,Hypoalbuminemic,Hypocalcemia ,Hypochloremia,Hypochloremia metabolic alkalosis,Hypochloremic metabolic acidosis,Hypochloremic metabolic alkalosis,Hypocholesterolemia,Hypoglycemia ,Hypokalemia,Hypomagnesemia,Hyponatremia,Hyporexic,Hypothyroidism,Hypoxia,Hypoxic injury,IBD,Immunologic immaturity,Induction,Infectious,Inflammation,Intestinal leakage,Isoforms,Isosthenuria,Ketosis,Lipase elevated,Liver enzymes elevated,Liver insufficiency,Lymphoma,MCS/sarcopenia,Metabolic acidosis,Metabolic alkalosis,Microalbuminuria,Mild hypercholesteremia,Muscle injury,Myocyte injury,Myocyte leakage,Neoplasia,Neoplastic disease ,Neoplastic etiology,Neoplastic involvement of liver,Nodular hepatic hyperplasia,Normophosphatemic hypercalcemia,PLN,PU/PD,Pancreatic leakage,Pancreatitis,Panhypoproteinemia,Pathological etiology,Pathology,Phenobarb therapy,Phenobarbital Tx,Phenobarbital inductio,Phosphorus elevated,Polycystic kidney,Portosystemic circulation,Portosystemic shunt,Post-prandial,Post-prandial elevation,Pre bile acids elevated,Pre/post BA WNL,Protein-losing enteropathy,Proteinuria,Psychogenic,Ratio elevated,Red blood cell elevated,Renal acid retention,Renal albumin lowered,Renal clearance lowered,Renal disease,Renal failure,Renal insufficiency,Renal losses,Renal protein loss,Renal proteinuria,Respiratory acidosis ,Retention ketoacids,Sarcopenia,Selective hypochloremia,Sepsis,Sodium elevated,Steroid-induction,Sub-optimal mineralocorticoid supplementation,Systemic inflammation,Toxicity,Tubulointerstitial disease,UPC elevated,UPC lowered,UTI,Urea elevated,Urea lowered,Volume contraction,Volume depletion,hepatocellular injury
HERDING GROUP,10.0,Neutered Male,0.1049,0.982,0.4621,0.1651,-0.1651,0.5668,-0.1974,0.8548,0.2365,-0.0333,0.6388,0.0624,-0.2449,-0.4621,0.9822,0.1419,-0.4621,-0.1391,-0.3846,-0.214,-0.1974,-0.0617,0.1107,0.4621,-0.3511,0.4621,0.2419,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
NON-SPORTING GROUP,13.0,Neutered Male,-0.6027,0.8551,-0.537,0.5273,0.2774,0.0713,0.1974,-0.2898,0.1331,0.0333,0.486,-0.0375,-0.1489,-0.1244,0.9586,0.4621,0.3584,-0.2913,-0.2734,-0.3344,-0.1974,-0.1779,0.1107,0.2629,-0.4081,0.1244,-0.0821,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
WORKING GROUP,1.0,Male,-0.7724,0.05,-0.537,0.6333,0.0048,0.0713,0.0997,0.3557,0.1593,-0.1651,0.0831,-0.2566,-0.4219,-0.4621,0.79,0.8914,0.1853,0.2543,-0.4927,-0.3536,0.0,0.0841,-0.1651,0.0384,-0.1651,0.7341,-0.4317,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HERDING GROUP,6.0,Spayed Female,-0.6351,0.991,-0.3799,0.9895,-0.1905,0.0713,0.0,-0.1421,0.0979,0.2913,0.0893,0.0873,0.0997,0.1244,0.9866,0.656,0.3027,-0.2165,-0.4476,-0.2347,0.0997,-0.2995,-0.1107,0.3995,-0.1974,0.4621,-0.218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HERDING GROUP,3.0,Spayed Female,-0.3176,0.9984,0.537,0.9999,0.9978,0.2782,0.0997,-0.2748,0.2281,-0.4621,0.9528,-0.2449,-0.3364,-0.4621,0.7299,0.5668,0.2449,0.4301,0.9995,-0.0435,0.537,-0.167,-0.5047,-0.1149,0.0666,0.7616,-0.357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TOY GROUP,13.0,Neutered Male,-0.1694,1.0,0.4621,1.0,-0.0048,0.2782,0.2913,-0.0313,0.2699,-0.4621,0.9949,-0.2798,-0.05,0.7616,1.0,0.3427,0.2449,-0.4301,-0.2734,-0.0435,-0.4621,-0.1174,0.3215,-0.0384,-0.4621,0.5964,-0.1569,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TERRIER GROUP,10.0,Neutered Male,0.6272,0.9138,0.7163,1.0,-0.1491,0.4621,0.0997,0.0558,0.4336,-0.1651,0.2186,-0.0873,-0.2449,0.0,0.9957,-0.2782,0.0935,-0.1781,-0.4103,-0.151,-0.537,-0.2476,0.4173,0.333,-0.3799,0.3584,0.0569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
TOY GROUP,9.0,Spayed Female,0.1049,0.3799,0.6044,1.0,-0.168,0.4041,-0.0997,0.0694,0.168,-0.2292,0.6904,-0.2331,-0.2913,-0.1244,0.4621,0.1419,-0.3853,-0.1391,-0.3557,0.1297,-0.4621,0.1395,0.2708,0.1149,-0.3799,0.5546,0.312,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
NON-SPORTING GROUP,9.0,Neutered Male,-0.0918,0.664,0.0,0.9972,-0.3843,0.5668,-0.2913,-0.4092,0.168,-0.4621,0.9923,-0.2683,-0.4582,-0.1244,0.9976,-0.0,1.0,-0.4621,-0.4229,-0.4093,-0.664,-0.2841,0.5449,-0.19,-0.664,0.0624,-0.1937,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPORTING GROUP,10.0,Neutered Male,0.1566,0.025,0.4621,-0.316,0.931,0.2782,0.0,0.2468,0.7501,0.0333,0.6048,0.0,-0.1489,0.0,0.0713,-0.0,0.3584,-0.2913,-0.4179,0.0,0.1974,-0.3349,-0.2186,0.3995,-0.4081,0.3584,-0.357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
